,,,
🔥 Daily 2-Hour Plan,,,
14/05/2026,Thursday,"Advanced I/O – epoll, signalfd, eventfd, timerfd","Edge‑triggered, level‑triggered, performance tuning"
15/05/2026,Friday,"File I/O – open, read, write, lseek, mmap","Page cache, O_DIRECT, memory‑mapped files"
18/05/2026,Monday,"Memory management in Linux – brk, mmap, mallopt, jemalloc vs glibc","Heap fragmentation, arena allocation"
19/05/2026,Tuesday,"Dynamic linking – ld.so, LD_LIBRARY_PATH, dlopen, dlsym","Shared libraries, -fPIC, soname"
20/05/2026,Wednesday,"Debugging with gdb – breakpoints, watchpoints, core dumps, reverse debugging","Multi‑threaded debugging, gdb scripts"
21/05/2026,Thursday,"Profiling – perf, valgrind, callgrind, cachegrind","Identifying bottlenecks, CPU cache misses"
22/05/2026,Friday,"Static analysis – clang-tidy, cppcheck, coverity","Suppressing warnings, custom rules"
25/05/2026,Monday,"Security concepts – buffer overflow, stack canary, ASLR, NX, RELRO","Format string attacks, return‑oriented programming (ROP)"
26/05/2026,Tuesday,"Antivirus‑specific – signature scanning, heuristics, emulation, sandboxing","How AV detects malware, YARA rules, behavioural detection"
27/05/2026,Wednesday,"Secure coding in C++ – std::string vs C‑strings, bounds checking, strlcpy","Avoiding race conditions, using std::array, gsl::span"
28/05/2026,Thursday,"Cryptography basics – hashing (MD5, SHA), symmetric (AES), asymmetric (RSA)","OpenSSL API, random number generation (/dev/urandom)"
29/05/2026,Friday,"Data structures – arrays, linked lists, stacks, queues (implementation)","Time complexity, custom allocators for lists"
01/06/2026,Monday,"Trees – binary tree, BST, AVL, red‑black, heap (priority queue)","Rotations, insertion, deletion, std::priority_queue"
02/06/2026,Tuesday,"Graphs – adjacency list/matrix, BFS, DFS, topological sort","Cycle detection, shortest path (Dijkstra, Bellman‑Ford)"
03/06/2026,Wednesday,"Hash tables – open addressing, separate chaining, rehashing","std::unordered_map internals, custom hash functions"
04/06/2026,Thursday,"Sorting – quick, merge, heap, counting, radix","In‑place vs stable, implementation details, std::sort"
05/06/2026,Friday,"Searching – binary search, interpolation, exponential search","std::lower_bound, std::upper_bound"
08/06/2026,Monday,"Recursion & backtracking – N‑queens, subset sum, maze solving","Tail recursion optimisation, stack usage"
09/06/2026,Tuesday,"Dynamic programming – memoization, tabulation, knapsack, LCS, edit distance","State definition, space optimisation"
10/06/2026,Wednesday,"Greedy algorithms – activity selection, Huffman coding, fractional knapsack",Proof of optimality
11/06/2026,Thursday,"Operating system – processes, threads, scheduling (CFS, round‑robin)","Context switch, kernel vs user space"
12/06/2026,Friday,"Memory management – paging, segmentation, TLB, page fault handling","Virtual memory, malloc internals, mmap"
15/06/2026,Monday,"File systems – inodes, links, ext4, XFS, journaling","stat, readdir, dentry cache"
16/06/2026,Tuesday,"Networking – TCP/IP stack, congestion control, sockets options","SO_REUSEADDR, TCP_NODELAY, epoll vs select"
17/06/2026,Wednesday,"Design patterns – Singleton, Factory, Observer, RAII, PIMPL",Implementation in C++ with examples
18/06/2026,Thursday,"Concurrency patterns – thread pool, producer‑consumer, active object","Lock‑free queue, std::packaged_task"
19/06/2026,Friday,System design – high‑level architecture of antivirus software,"On‑access scanner, signature update, cloud lookup, performance"
22/06/2026,Monday,"System design – log collection, metrics, alerting (e.g., ELK stack)","Real‑time monitoring, rsyslog, systemd journal"
23/06/2026,Tuesday,"Performance optimisation – cache locality, branch prediction, SIMD","restrict, __builtin_expect, -O3 flags"
24/06/2026,Wednesday,"Code review & best practices – Google C++ Style Guide, MISRA","Naming, comments, const‑correctness, exception safety"
25/06/2026,Thursday,"Testing – unit tests (Google Test), mocking, fuzzing","Test coverage, valgrind for memory leaks"
26/06/2026,Friday,"Build systems – Make, CMake, compilation flags, -fPIC, -pthread","Static vs shared libraries, ldd, rpath"
29/06/2026,Monday,"Version control – Git advanced: rebase, bisect, cherry‑pick, hooks","Git workflows (GitFlow, trunk‑based)"
30/06/2026,Tuesday,"Linux kernel basics – modules, system calls, procfs, sysfs",Writing a simple kernel module (optional)
01/07/2026,Wednesday,"eBPF – basics, BCC tools, tracing, performance analysis",bpftrace one‑liners
02/07/2026,Thursday,"Containers – Docker, cgroups, namespaces, seccomp","Running C++ apps in containers, security implications"
03/07/2026,Friday,"Security hardening – chroot, capabilities, AppArmor, SELinux","Dropping privileges, sandboxing malware analysis"
06/07/2026,Monday,"Reverse engineering – objdump, nm, readelf, strace","Disassembly, dynamic instrumentation"
07/07/2026,Tuesday,"Malware analysis – static vs dynamic, unpacking, API hooking","ltrace, LD_PRELOAD, ptrace"
08/07/2026,Wednesday,"Interview problem solving – arrays, strings (LeetCode easy)","Two‑sum, reverse string, valid parentheses"
09/07/2026,Thursday,"Interview problem solving – sliding window, two pointers","Longest substring without repeating, container with most water"
10/07/2026,Friday,"Interview problem solving – recursion, backtracking (medium)","Subsets, permutations, combination sum"
13/07/2026,Monday,Interview problem solving – dynamic programming (medium),"Climbing stairs, house robber, coin change"
14/07/2026,Tuesday,"Interview problem solving – trees (BFS, DFS)","Max depth, symmetric tree, lowest common ancestor"
15/07/2026,Wednesday,"Interview problem solving – graphs (Dijkstra, topological sort)","Course schedule, network delay time"
16/07/2026,Thursday,"Interview problem solving – heaps (top K, merge K lists)","Kth largest, median finder"
17/07/2026,Friday,Interview problem solving – system design mock (antivirus scanner),"Draw components, data flow, trade‑offs"
20/07/2026,Monday,"Mock interview – C++ trivia (virtual table, smart pointers, move semantics)","shared_ptr thread safety, dynamic_cast cost"
21/07/2026,Tuesday,"Mock interview – Linux debugging (gdb commands, strace analysis)","Debugging a deadlock, memory corruption"
22/07/2026,Wednesday,"Mock interview – OS concepts (paging, interrupts, context switch)","Difference between thread and process, kernel vs user space"
23/07/2026,Thursday,"Mock interview – security (buffer overflow, format string, ASLR)",How would you exploit a strcpy? How to mitigate?
24/07/2026,Friday,"Resume review, LinkedIn update, preparation for behavioural questions",STAR answers: “Tell me about a difficult bug”
27/07/2026,Monday,Revision – C++11/14/17/20 features (coding examples),"constexpr lambda, std::optional, std::variant"
28/07/2026,Tuesday,"Revision – STL containers & algorithms (custom comparator, sort)","std::sort with lambda, std::accumulate"
29/07/2026,Wednesday,"Revision – Concurrency (lock‑free stack, thread pool implementation)",Write a simple thread pool
30/07/2026,Thursday,Revision – Linux system programming (echo server with epoll),"Non‑blocking I/O, handling EAGAIN"
31/07/2026,Friday,Revision – Security & antivirus concepts (YARA rule example),How to detect a specific malware family
03/08/2026,Monday,Mock coding round – 2 LeetCode mediums (time bound),Simulate interview conditions
04/08/2026,Tuesday,Mock system design – Real‑time threat intelligence feed,"Scalability, caching, API design"
05/08/2026,Wednesday,Mock behavioural – “Why our company? Your biggest failure”,Prepare 3‑4 stories from work
06/08/2026,Thursday,Final review of weak topics (from self‑assessment),"Revisit pointers, templates, or debugging"
07/08/2026,Friday,Rest / light review of notes and cheat sheets,No heavy coding
10/08/2026,Monday,"Full‑length mock interviews (DSA, C++, Linux, System Design)","Use Pramp, interviewing.io, or hire a mentor"
12/08/2026,Wednesday,"Full‑length mock interviews (DSA, C++, Linux, System Design)",Focus on time management
14/08/2026,Friday,"Full‑length mock interviews (DSA, C++, Linux, System Design)",Analyse weak areas
17/08/2026,Monday,"Full‑length mock interviews (DSA, C++, Linux, System Design)",Repeat with different problems
19/08/2026,Wednesday,"Full‑length mock interviews (DSA, C++, Linux, System Design)",Work on communication
21/08/2026,Friday,"Full‑length mock interviews (DSA, C++, Linux, System Design)",Final confidence boost
24/08/2026,Monday,"Final revision – C++ quirks, STL, Linux commands, gdb",Cheat sheets
25/08/2026,Tuesday,Final revision – Data structures & algorithms (key problems),Review previously solved problems
26/08/2026,Wednesday,Final revision – System design & security,Draw architecture diagrams
27/08/2026,Thursday,"Rest, relax, prepare documents",Sleep well
28/08/2026,Friday,"Interview day – stay calm, be confident",Good luck!
